Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
31/12/1993,2322,1411,341,570,,,4644
7/1/1994,2186,1323,331,532,,,4372
14/1/1994,2019,1199,316,504,,,4038
21/1/1994,1782,1040,303,440,,,3565
28/1/1994,1662,958,290,414,,,3324
4/2/1994,1470,838,266,365,,,2939
11/2/1994,1303,728,246,330,,,2607
18/2/1994,1203,665,228,310,,,2406
25/2/1994,1149,627,212,309,,,2297
4/3/1994,1015,529,206,281,,,2031
11/3/1994,1004,531,201,271,,,2007
18/3/1994,952,462,205,284,,,1903
25/3/1994,965,461,202,303,,,1931
1/4/1994,953,465,201,287,,,1906
8/4/1994,969,475,201,293,,,1938
15/4/1994,1005,494,202,308,,,2009
22/4/1994,1085,541,210,334,,,2170
29/4/1994,1161,593,215,353,,,2322
6/5/1994,1237,636,225,376,,,2474
13/5/1994,1325,690,236,399,,,2650
20/5/1994,1403,731,242,429,,,2805
27/5/1994,1494,795,256,443,,,2988
3/6/1994,1601,860,266,475,,,3202
10/6/1994,1682,917,283,482,,,3364
17/6/1994,1754,968,283,504,,,3509
24/6/1994,1821,1022,290,509,,,3642
1/7/1994,1911,1099,295,518,,,3823
8/7/1994,1999,1146,305,549,,,3999
15/7/1994,2096,1215,312,569,,,4192
22/7/1994,2179,1272,320,586,,,4357
29/7/1994,2248,1325,325,598,,,4496
5/8/1994,2335,1385,329,621,,,4670
12/8/1994,2396,1426,334,637,,,4793
19/8/1994,2485,1494,338,652,,,4969
26/8/1994,2557,1546,345,666,,,5114
2/9/1994,2632,1594,353,686,,,5265
9/9/1994,2716,1645,370,701,,,5432
16/9/1994,2791,1687,385,719,,,5582
23/9/1994,2854,1732,387,735,,,5708
30/9/1994,2912,1776,388,748,,,5824
7/10/1994,2962,1802,395,765,,,5924
14/10/1994,2992,1822,398,773,,,5985
21/10/1994,3061,1878,404,778,,,6121
28/10/1994,3071,1881,407,782,,,6141
4/11/1994,3080,1891,404,785,,,6160
11/11/1994,3096,1896,405,795,,,6192
18/11/1994,3086,1887,398,801,,,6172
25/11/1994,3034,1851,390,793,,,6068
2/12/1994,2957,1809,380,769,,,5915
9/12/1994,2914,1786,367,762,,,5829
16/12/1994,2765,1700,345,720,,,5530
23/12/1994,2696,1648,348,700,,,5392
30/12/1994,2632,1606,346,680,,,5264
6/1/1995,2450,1492,320,637,,,4899
13/1/1995,2339,1407,316,616,,,4678
20/1/1995,2283,1383,303,597,,,4566
27/1/1995,2124,1264,290,569,,,4247
3/2/1995,1998,1171,289,538,,,3996
10/2/1995,1824,1033,285,506,,,3648
17/2/1995,1628,890,271,466,,,3255
24/2/1995,1604,863,274,466,,,3207
3/3/1995,1488,774,268,445,,,2975
10/3/1995,1347,699,261,387,,,2694
17/3/1995,1333,667,261,405,,,2666
24/3/1995,1362,690,257,415,,,2724
31/3/1995,1332,664,251,417,,,2664
7/4/1995,1293,623,255,415,,,2586
14/4/1995,1288,613,252,423,,,2576
21/4/1995,1325,635,244,446,,,2650
28/4/1995,1362,664,246,453,,,2725
5/5/1995,1405,690,250,466,,,2811
12/5/1995,1416,685,257,474,,,2832
19/5/1995,1526,774,267,485,,,3052
26/5/1995,1605,820,274,511,,,3210
2/6/1995,1698,865,288,544,,,3395
9/6/1995,1774,925,303,546,,,3548
16/6/1995,1863,980,314,569,,,3726
23/6/1995,1950,1031,324,594,,,3899
30/6/1995,2014,1086,328,600,,,4028
7/7/1995,2125,1152,346,626,,,4249
14/7/1995,2189,1199,354,636,,,4378
21/7/1995,2239,1240,359,639,,,4477
28/7/1995,2289,1286,362,640,,,4577
4/8/1995,2320,1320,363,638,,,4641
11/8/1995,2371,1366,365,640,,,4742
18/8/1995,2403,1401,368,634,,,4806
25/8/1995,2456,1447,372,637,,,4912
1/9/1995,2503,1494,373,635,,,5005
8/9/1995,2582,1550,377,654,,,5163
15/9/1995,2655,1598,386,672,,,5311
22/9/1995,2727,1646,391,690,,,5454
29/9/1995,2795,1683,398,714,,,5590
6/10/1995,2836,1723,397,716,,,5672
13/10/1995,2905,1766,404,735,,,5810
20/10/1995,2955,1792,410,753,,,5910
27/10/1995,2987,1809,412,766,,,5974
3/11/1995,3000,1813,419,768,,,6000
10/11/1995,2918,1758,407,753,,,5836
17/11/1995,2846,1695,420,732,,,5693
24/11/1995,2788,1650,419,719,,,5576
1/12/1995,2719,1601,420,698,,,5438
8/12/1995,2652,1556,412,684,,,5304
15/12/1995,2477,1427,404,646,,,4954
22/12/1995,2349,1351,393,605,,,4698
29/12/1995,2192,1258,370,564,,,4384
5/1/1996,2063,1176,359,527,,,4125
12/1/1996,1872,1050,347,474,,,3743
19/1/1996,1775,994,332,450,,,3551
26/1/1996,1618,908,304,406,,,3236
2/2/1996,1409,782,272,356,,,2819
9/2/1996,1191,630,264,297,,,2382
16/2/1996,1112,572,261,278,,,2223
23/2/1996,1061,532,256,272,,,2121
1/3/1996,1017,521,234,263,,,2035
8/3/1996,909,452,227,231,,,1819
15/3/1996,844,404,227,213,,,1688
22/3/1996,810,378,228,204,,,1620
29/3/1996,757,339,222,197,,,1515
5/4/1996,733,322,220,191,,,1466
12/4/1996,697,285,226,186,,,1394
19/4/1996,729,307,226,195,,,1457
26/4/1996,819,374,231,214,,,1638
3/5/1996,879,414,233,231,,,1757
10/5/1996,945,470,240,235,,,1890
17/5/1996,1000,503,249,248,,,2000
24/5/1996,1081,560,260,262,,,2163
31/5/1996,1161,612,269,280,,,2322
7/6/1996,1251,677,277,298,,,2503
14/6/1996,1338,744,279,315,,,2676
21/6/1996,1423,806,288,328,,,2845
28/6/1996,1507,872,298,337,,,3014
5/7/1996,1593,942,303,348,,,3186
12/7/1996,1684,1011,310,364,,,3369
19/7/1996,1770,1079,316,375,,,3540
26/7/1996,1844,1145,314,384,,,3687
2/8/1996,1921,1211,312,397,,,3841
9/8/1996,1996,1265,318,412,,,3991
16/8/1996,2083,1332,314,437,,,4166
23/8/1996,2146,1383,313,450,,,4292
30/8/1996,2232,1446,313,474,,,4465
6/9/1996,2326,1513,320,494,,,4653
13/9/1996,2406,1563,323,519,,,4811
20/9/1996,2490,1619,329,542,,,4980
27/9/1996,2568,1671,329,568,,,5136
4/10/1996,2659,1726,332,601,,,5318
11/10/1996,2697,1753,335,609,,,5394
18/10/1996,2755,1795,340,620,,,5510
