Date,Total
Jan-1973,
Feb-1973,
Mar-1973,
Apr-1973,
May-1973,
Jun-1973,
Jul-1973,
Aug-1973,
Sept-1973,
Oct-1973,
Nov-1973,
Dec-1973,2034
Jan-1974,
Feb-1974,
Mar-1974,
Apr-1974,
May-1974,
Jun-1974,
Jul-1974,
Aug-1974,
Sept-1974,
Oct-1974,2403
Nov-1974,
Dec-1974,2050
Jan-1975,
Feb-1975,
Mar-1975,
Apr-1975,
May-1975,
Jun-1975,
Jul-1975,
Aug-1975,
Sept-1975,2468
Oct-1975,2599
Nov-1975,2541
Dec-1975,2212
Jan-1976,1648
Feb-1976,1444
Mar-1976,1326
Apr-1976,1423
May-1976,1637
Jun-1976,1908
Jul-1976,2192
Aug-1976,2447
Sept-1976,2650
Oct-1976,2664
Nov-1976,2408
Dec-1976,1926
Jan-1977,1287
Feb-1977,1163
Mar-1977,1215
Apr-1977,1427
May-1977,1731
Jun-1977,2030
Jul-1977,2348
Aug-1977,2599
Sept-1977,2824
Oct-1977,2929
Nov-1977,2821
Dec-1977,2475
Jan-1978,1819
Feb-1978,1310
Mar-1978,1123
Apr-1978,1231
May-1978,1491
Jun-1978,1836
Jul-1978,2164
Aug-1978,2501
Sept-1978,2813
Oct-1978,2958
Nov-1978,2927
Dec-1978,2547
Jan-1979,1890
Feb-1979,1349
Mar-1979,1236
Apr-1979,1335
May-1979,1619
Jun-1979,1950
Jul-1979,2284
Aug-1979,2628
Sept-1979,2920
Oct-1979,3079
Nov-1979,3045
Dec-1979,2753
Jan-1980,2324
Feb-1980,1852
Mar-1980,1594
Apr-1980,1691
May-1980,1998
Jun-1980,2299
Jul-1980,2587
Aug-1980,2854
Sept-1980,3099
Oct-1980,3187
Nov-1980,3026
Dec-1980,2655
Jan-1981,2152
Feb-1981,1824
Mar-1981,1631
Apr-1981,1764
May-1981,1977
Jun-1981,2252
Jul-1981,2558
Aug-1981,2882
Sept-1981,3152
Oct-1981,3248
Nov-1981,3201
Dec-1981,2817
Jan-1982,2182
Feb-1982,1787
